2016,WC1 2016,WC2 2016,WC3 2016,2017,WC1 2017,WC2 2017,WC3 2017,2018,WC1 2018,WC2 2018,WC3 2018,2019,WC1 2019,WC2 2019,WC3 2019,2020,WC1 2020,WC2 2020,WC3 2020,2021,WC1 2021,WC2 2021,WC3 2021,2022,WC1 2022,WC2 2022,WC3 2022
8/26/2016,5,5.3125,5.625,8/28/2017,5,5.34375,5.65625,8/27/2018,6.46875,6.78125,7.09375,8/27/2019,6.28125,6.34375,6.40625,8/26/2020,7,7.09375,7.1875,8/27/2021,9.0625,9.25,9.40625,8/29/2022,10.65625,10.96875,11.15625
8/29/2016,4.8125,5.15625,5.46875,8/29/2017,5.03125,5.375,5.6875,8/28/2018,6.4375,6.75,7.0625,8/28/2019,6.28125,6.3125,6.40625,8/27/2020,7.125,7.21875,7.3125,8/30/2021,8.9375,9.125,9.28125,8/30/2022,10.4375,10.75,10.9375
8/30/2016,4.75,5.125,5.4375,8/30/2017,5.09375,5.4375,5.71875,8/29/2018,6.65625,7,7.25,8/29/2019,6.25,6.28125,6.34375,8/28/2020,7.0625,7.1875,7.28125,8/31/2021,8.90625,9.125,9.28125,8/31/2022,10.625,10.90625,11.125
8/31/2016,4.71875,5.09375,5.375,8/31/2017,5.125,5.4375,5.71875,8/30/2018,6.59375,6.9375,7.21875,8/30/2019,6,6.15625,6.25,8/31/2020,7.09375,7.21875,7.3125,9/1/2021,8.84375,9,9.1875,9/1/2022,10.1875,10.4375,10.65625
9/1/2016,4.8125,5.15625,5.46875,9/1/2017,5.21875,5.4375,5.6875,8/31/2018,6.75,7.125,7.375,9/3/2019,5.96875,6.03125,6.125,9/1/2020,7.25,7.375,7.46875,9/2/2021,8.84375,9,9.15625,9/2/2022,10.40625,10.65625,10.875
9/2/2016,4.84375,5.1875,5.46875,9/5/2017,5.3125,5.46875,5.71875,9/4/2018,6.625,7,7.28125,9/4/2019,6.03125,6.09375,6.1875,9/2/2020,7.15625,7.28125,7.40625,9/3/2021,8.9375,9.09375,9.25,9/6/2022,10.53125,10.75,10.9375
9/6/2016,4.75,5.125,5.375,9/6/2017,5.15625,5.4375,5.71875,9/5/2018,6.5,6.875,7.15625,9/5/2019,6.125,6.15625,6.25,9/3/2020,7.125,7.25,7.375,9/7/2021,8.96875,9.09375,9.25,9/7/2022,10.84375,11.09375,11.25
9/7/2016,4.84375,5.1875,5.4375,9/7/2017,5,5.28125,5.5625,9/6/2018,6.375,6.75,7.03125,9/6/2019,6.0625,6.09375,6.1875,9/4/2020,7.0625,7.1875,7.3125,9/8/2021,8.875,9,9.15625,9/8/2022,10.625,10.84375,11.03125
9/8/2016,4.875,5.25,5.53125,9/8/2017,5.03125,5.3125,5.59375,9/7/2018,6.40625,6.71875,7,9/9/2019,6.25,6.25,6.3125,9/8/2020,7.0625,7.1875,7.3125,9/9/2021,8.625,8.75,8.875,9/9/2022,11.125,11.3125,11.5
9/9/2016,4.90625,5.25,5.53125,9/11/2017,5,5.25,5.5,9/10/2018,6.625,6.9375,7.1875,9/10/2019,6.375,6.34375,6.40625,9/9/2020,7.03125,7.15625,7.28125,9/10/2021,8.5625,8.75,8.875,9/12/2022,10.9375,11.15625,11.34375
9/12/2016,5,5.34375,5.59375,9/12/2017,5.125,5.375,5.625,9/11/2018,6.4375,6.78125,7.03125,9/11/2019,6.3125,6.3125,6.375,9/10/2020,7.125,7.21875,7.34375,9/13/2021,8.53125,8.6875,8.8125,9/13/2022,11.09375,11.34375,11.53125
9/13/2016,4.9375,5.28125,5.5625,9/13/2017,5.125,5.40625,5.625,9/12/2018,6.25,6.59375,6.84375,9/12/2019,6.40625,6.375,6.46875,9/11/2020,7.03125,7.125,7.25,9/14/2021,8.6875,8.90625,9.03125,9/14/2022,11.25,11.46875,11.6875
9/14/2016,4.96875,5.3125,5.59375,9/14/2017,5.21875,5.375,5.625,9/13/2018,6.125,6.46875,6.71875,9/13/2019,6.4375,6.4375,6.5,9/14/2020,7.21875,7.1875,7.3125,9/15/2021,9,9.15625,9.1875,9/15/2022,11.1875,11.375,11.5
9/15/2016,5.25,5.5625,5.75,9/15/2017,5.46875,5.71875,5.875,9/14/2018,6.25,6.65625,6.90625,9/16/2019,6.46875,6.5625,6.625,9/15/2020,7.09375,7.21875,7.28125,9/16/2021,9.03125,9.1875,9.21875,9/16/2022,11.40625,11.59375,11.71875
9/16/2016,5.3125,5.625,5.8125,9/18/2017,5.4375,5.6875,5.875,9/17/2018,6.59375,6.84375,7.03125,9/17/2019,6.40625,6.5,6.5625,9/16/2020,7.15625,7.25,7.34375,9/17/2021,9.0625,9.1875,9.21875,9/19/2022,11,11.21875,11.34375
9/19/2016,5.34375,5.59375,5.78125,9/19/2017,5.4375,5.6875,5.875,9/18/2018,6.625,6.875,7.03125,9/18/2019,6.5,6.59375,6.65625,9/17/2020,7.3125,7.4375,7.5,9/20/2021,9,9.125,9.15625,9/20/2022,11.9375,12.125,12.21875
9/20/2016,5.34375,5.625,5.8125,9/20/2017,5.53125,5.78125,5.96875,9/19/2018,6.75,6.96875,7.125,9/19/2019,6.46875,6.5625,6.625,9/18/2020,7.59375,7.6875,7.75,9/21/2021,8.84375,8.96875,9.03125,9/21/2022,12.15625,12.3125,12.40625
9/21/2016,5.34375,5.625,5.8125,9/21/2017,5.5625,5.8125,5.96875,9/20/2018,6.75,7,7.15625,9/20/2019,6.40625,6.5,6.5625,9/21/2020,7.375,7.5,7.5625,9/22/2021,9,9.15625,9.1875,9/22/2022,12.28125,12.4375,12.5
9/22/2016,5.28125,5.59375,5.75,9/22/2017,5.53125,5.78125,5.96875,9/21/2018,6.75,6.96875,7.15625,9/23/2019,6.40625,6.5,6.5625,9/22/2020,7.4375,7.53125,7.59375,9/23/2021,9.09375,9.21875,9.25,9/23/2022,11.96875,12.15625,12.25
9/23/2016,5.34375,5.625,5.8125,9/25/2017,5.625,5.875,6.03125,9/24/2018,6.8125,7.0625,7.21875,9/24/2019,6.375,6.46875,6.53125,9/23/2020,7.34375,7.46875,7.53125,9/24/2021,9.15625,9.28125,9.34375,9/26/2022,11.78125,11.96875,12.0625
9/26/2016,5.25,5.5625,5.75,9/26/2017,5.59375,5.84375,6,9/25/2018,6.75,7,7.125,9/25/2019,6.34375,6.40625,6.46875,9/24/2020,7.34375,7.4375,7.5,9/27/2021,9.125,9.25,9.3125,9/27/2022,11.96875,12.125,12.21875
9/27/2016,5.34375,5.625,5.8125,9/27/2017,5.75,6,6.15625,9/26/2018,6.75,6.96875,7.125,9/26/2019,6.4375,6.5,6.5625,9/25/2020,7.28125,7.375,7.4375,9/28/2021,8.96875,9.125,9.1875,9/28/2022,12.28125,12.4375,12.53125
9/28/2016,5.28125,5.5625,5.75,9/28/2017,5.65625,5.90625,6.0625,9/27/2018,6.6875,6.90625,7.0625,9/27/2019,6.46875,6.53125,6.59375,9/28/2020,7.34375,7.4375,7.53125,9/29/2021,9.0625,9.21875,9.28125,9/29/2022,12.25,12.40625,12.5
9/29/2016,5.25,5.53125,5.71875,9/29/2017,5.59375,5.8125,5.96875,9/28/2018,6.5625,6.8125,6.9375,9/30/2019,6.5625,6.65625,6.71875,9/29/2020,7.34375,7.4375,7.53125,9/30/2021,9.1875,9.34375,9.375,9/30/2022,12.75,12.875,12.9375
9/30/2016,5.28125,5.5625,5.75,10/2/2017,5.5625,5.78125,5.96875,10/1/2018,6.53125,6.78125,6.9375,10/1/2019,6.59375,6.6875,6.75,9/30/2020,7.6875,7.78125,7.8125,10/1/2021,9.5625,9.6875,9.71875,10/3/2022,12.4375,12.59375,12.6875
10/3/2016,5.1875,5.46875,5.65625,10/3/2017,5.59375,5.8125,5.96875,10/2/2018,6.65625,6.90625,7.03125,10/2/2019,6.5,6.625,6.6875,10/1/2020,7.5625,7.65625,7.71875,10/4/2021,9.53125,9.65625,9.71875,10/4/2022,12.1875,12.375,12.46875
10/4/2016,5.21875,5.5,5.6875,10/4/2017,5.5,5.75,5.90625,10/3/2018,6.625,6.875,7.03125,10/3/2019,6.53125,6.625,6.6875,10/2/2020,7.625,7.71875,7.75,10/5/2021,9.375,9.53125,9.5625,10/5/2022,12.28125,12.46875,12.5625
10/5/2016,5.34375,5.59375,5.78125,10/5/2017,5.53125,5.78125,5.9375,10/4/2018,6.6875,6.9375,7.0625,10/4/2019,6.53125,6.625,6.6875,10/5/2020,7.75,7.84375,7.875,10/6/2021,9.375,9.5625,9.59375,10/6/2022,12.09375,12.28125,12.375
10/6/2016,5.21875,5.5,5.6875,10/6/2017,5.5625,5.8125,5.96875,10/5/2018,6.75,7,7.125,10/7/2019,6.5,6.59375,6.6875,10/6/2020,7.875,7.96875,8,10/7/2021,9.3125,9.46875,9.53125,10/7/2022,12.09375,12.28125,12.40625
10/7/2016,5.25,5.5,5.6875,10/9/2017,5.46875,5.71875,5.90625,10/8/2018,6.65625,6.9375,7.0625,10/8/2019,6.65625,6.75,6.84375,10/7/2020,8.0625,8.09375,8.09375,10/8/2021,9.15625,9.3125,9.375,10/10/2022,12.90625,13.09375,13.15625
10/10/2016,5.3125,5.59375,5.75,10/10/2017,5.4375,5.6875,5.875,10/9/2018,6.65625,6.9375,7.0625,10/9/2019,6.65625,6.75,6.8125,10/8/2020,7.84375,7.90625,7.90625,10/11/2021,9.125,9.3125,9.375,10/11/2022,12.4375,12.65625,12.75
10/11/2016,5.40625,5.625,5.8125,10/11/2017,5.40625,5.625,5.78125,10/10/2018,6.65625,6.9375,7.09375,10/10/2019,6.5625,6.65625,6.71875,10/9/2020,7.78125,7.84375,7.875,10/12/2021,9.15625,9.3125,9.375,10/12/2022,12.1875,12.40625,12.53125
10/12/2016,5.28125,5.53125,5.71875,10/12/2017,5.375,5.59375,5.75,10/11/2018,6.625,6.90625,7.0625,10/11/2019,6.71875,6.78125,6.84375,10/12/2020,7.78125,7.84375,7.875,10/13/2021,8.9375,9.09375,9.15625,10/13/2022,12.28125,12.5,12.59375
10/13/2016,5.5,5.71875,5.90625,10/13/2017,5.46875,5.71875,5.875,10/12/2018,6.75,7,7.15625,10/14/2019,6.75,6.84375,6.90625,10/13/2020,7.8125,7.84375,7.875,10/14/2021,8.96875,9.125,9.15625,10/14/2022,11.9375,12.1875,12.28125
10/14/2016,5.53125,5.78125,5.9375,10/16/2017,5.46875,5.6875,5.875,10/15/2018,6.8125,7.0625,7.21875,10/15/2019,6.6875,6.78125,6.84375,10/14/2020,7.84375,7.90625,7.90625,10/15/2021,9.0625,9.21875,9.28125,10/17/2022,11.8125,12.03125,12.15625
10/17/2016,5.5625,5.8125,5.96875,10/17/2017,5.4375,5.6875,5.84375,10/16/2018,6.78125,7.03125,7.15625,10/16/2019,6.78125,6.84375,6.90625,10/15/2020,8.1875,8.1875,8.1875,10/18/2021,9.125,9.25,9.3125,10/18/2022,11.65625,11.90625,12.03125
10/18/2016,5.5,5.78125,5.9375,10/18/2017,5.375,5.59375,5.78125,10/17/2018,6.75,7,7.15625,10/17/2019,6.90625,6.96875,7,10/16/2020,8.25,8.21875,8.1875,10/19/2021,9.09375,9.25,9.3125,10/19/2022,11.59375,11.84375,11.96875
10/19/2016,5.5,5.78125,5.96875,10/19/2017,5.40625,5.625,5.8125,10/18/2018,6.71875,6.96875,7.15625,10/18/2019,7,7.0625,7.09375,10/19/2020,8.28125,8.25,8.25,10/20/2021,9.21875,9.375,9.40625,10/20/2022,11.6875,11.9375,12.09375
10/20/2016,5.53125,5.78125,6,10/20/2017,5.375,5.625,5.78125,10/19/2018,6.75,7,7.15625,10/21/2019,6.84375,6.9375,7,10/20/2020,8.28125,8.28125,8.28125,10/21/2021,9.15625,9.3125,9.375,10/21/2022,11.59375,11.84375,12
10/21/2016,5.53125,5.8125,6,10/23/2017,5.53125,5.75,5.9375,10/22/2018,6.65625,6.90625,7.0625,10/22/2019,6.78125,6.875,6.9375,10/21/2020,8.28125,8.3125,8.28125,10/22/2021,9.34375,9.5,9.53125,10/24/2022,11.5,11.75,11.90625
10/24/2016,5.34375,5.625,5.84375,10/24/2017,5.5625,5.78125,5.9375,10/23/2018,6.65625,6.9375,7.09375,10/23/2019,6.8125,6.875,6.9375,10/22/2020,8.1875,8.1875,8.1875,10/25/2021,9.40625,9.5625,9.59375,10/25/2022,11.34375,11.625,11.78125
10/25/2016,5.40625,5.6875,5.90625,10/25/2017,5.5625,5.8125,6,10/24/2018,6.53125,6.78125,6.96875,10/24/2019,6.75,6.8125,6.875,10/23/2020,8.3125,8.3125,8.28125,10/26/2021,9.3125,9.46875,9.53125,10/26/2022,11.375,11.65625,11.78125
10/26/2016,5.5,5.78125,5.96875,10/26/2017,5.53125,5.78125,5.96875,10/25/2018,6.375,6.625,6.8125,10/25/2019,6.75,6.84375,6.90625,10/26/2020,8.1875,8.1875,8.1875,10/27/2021,9.375,9.5625,9.59375,10/27/2022,11.375,11.625,11.78125
10/27/2016,5.5625,5.8125,6,10/27/2017,5.46875,5.6875,5.875,10/26/2018,6.625,6.875,7.03125,10/28/2019,6.6875,6.75,6.84375,10/27/2020,8.125,8.125,8.09375,10/28/2021,9.53125,9.6875,9.71875,10/28/2022,11.28125,11.53125,11.6875
10/28/2016,5.46875,5.75,5.9375,10/30/2017,5.4375,5.6875,5.84375,10/29/2018,6.65625,6.90625,7.0625,10/29/2019,6.6875,6.78125,6.84375,10/28/2020,8.09375,8.09375,8.0625,10/29/2021,9.5625,9.71875,9.75,10/31/2022,12.03125,12.25,12.375
10/31/2016,5.59375,5.8125,6,10/31/2017,5.40625,5.625,5.78125,10/30/2018,6.5625,6.78125,6.9375,10/30/2019,6.6875,6.78125,6.84375,10/29/2020,8.03125,8.03125,8,11/1/2021,9.875,10,10.03125,11/1/2022,12.3125,12.53125,12.59375
11/1/2016,5.53125,5.78125,5.96875,11/1/2017,5.375,5.59375,5.78125,10/31/2018,6.59375,6.78125,6.9375,10/31/2019,6.6875,6.78125,6.84375,10/30/2020,7.96875,8,8,11/2/2021,9.8125,9.96875,10,11/2/2022,11.59375,11.84375,11.96875
11/2/2016,5.59375,5.8125,6,11/2/2017,5.46875,5.6875,5.875,11/1/2018,6.65625,6.84375,7,11/1/2019,6.78125,6.84375,6.90625,11/2/2020,8.03125,8.03125,8.03125,11/3/2021,9.6875,9.8125,9.875,11/3/2022,11.5625,11.8125,11.96875
11/3/2016,5.53125,5.75,5.96875,11/3/2017,5.4375,5.6875,5.84375,11/2/2018,6.65625,6.875,7.03125,11/4/2019,6.6875,6.78125,6.84375,11/3/2020,7.96875,8,8,11/4/2021,9.625,9.78125,9.84375,11/4/2022,11.4375,11.6875,11.8125
11/4/2016,5.5625,5.78125,6,11/6/2017,5.46875,5.6875,5.84375,11/5/2018,6.65625,6.84375,7,11/5/2019,6.78125,6.84375,6.90625,11/4/2020,7.96875,8,8.03125,11/5/2021,9.53125,9.71875,9.75,11/7/2022,11.40625,11.65625,11.8125
11/7/2016,5.46875,5.71875,5.9375,11/7/2017,5.46875,5.6875,5.84375,11/6/2018,6.71875,6.90625,7.0625,11/6/2019,6.8125,6.875,6.9375,11/5/2020,7.9375,8,8.03125,11/8/2021,9.5625,9.71875,9.78125,11/8/2022,11.125,11.375,11.53125
11/8/2016,5.53125,5.75,5.9375,11/8/2017,5.4375,5.65625,5.8125,11/7/2018,6.6875,6.84375,7,11/7/2019,6.75,6.8125,6.875,11/6/2020,7.84375,7.9375,7.96875,11/9/2021,9.6875,9.8125,9.875,11/9/2022,10.90625,11.1875,11.34375
11/9/2016,5.46875,5.6875,5.90625,11/9/2017,5.4375,5.65625,5.78125,11/8/2018,6.6875,6.84375,6.96875,11/8/2019,6.75,6.8125,6.875,11/9/2020,7.78125,7.875,7.90625,11/10/2021,10.03125,10.1875,10.21875,11/10/2022,10.6875,11,11.15625
11/10/2016,5.4375,5.6875,5.90625,11/10/2017,5.46875,5.6875,5.84375,11/9/2018,6.625,6.78125,6.875,11/11/2019,6.6875,6.75,6.8125,11/10/2020,7.9375,8.03125,8.0625,11/11/2021,10.21875,10.375,10.40625,11/11/2022,10.78125,11.0625,11.21875
11/11/2016,5.46875,5.71875,5.90625,11/13/2017,5.40625,5.65625,5.78125,11/12/2018,6.875,6.96875,7.0625,11/12/2019,6.84375,6.90625,6.96875,11/11/2020,7.8125,7.90625,7.9375,11/12/2021,10.25,10.40625,10.4375,11/14/2022,10.90625,11.15625,11.3125
11/14/2016,5.34375,5.59375,5.78125,11/14/2017,5.4375,5.65625,5.8125,11/13/2018,6.71875,6.84375,6.96875,11/13/2019,6.75,6.8125,6.875,11/12/2020,7.71875,7.84375,7.875,11/15/2021,10.34375,10.46875,10.53125,11/15/2022,11,11.25,11.40625
11/15/2016,5.375,5.625,5.8125,11/15/2017,5.375,5.59375,5.75,11/14/2018,6.65625,6.78125,6.90625,11/14/2019,6.71875,6.78125,6.84375,11/13/2020,7.78125,7.90625,7.9375,11/16/2021,10.1875,10.3125,10.375,11/16/2022,10.90625,11.15625,11.28125
11/16/2016,5.34375,5.5625,5.75,11/16/2017,5.375,5.59375,5.75,11/15/2018,6.65625,6.78125,6.875,11/15/2019,6.65625,6.6875,6.75,11/16/2020,7.8125,7.90625,7.96875,11/17/2021,10.375,10.5,10.5625,11/17/2022,10.75,11,11.125
11/17/2016,5.4375,5.6875,5.84375,11/17/2017,5.4375,5.65625,5.78125,11/16/2018,6.65625,6.78125,6.875,11/18/2019,6.6875,6.75,6.78125,11/17/2020,7.8125,7.90625,7.9375,11/18/2021,10.34375,10.46875,10.53125,11/18/2022,10.75,11,11.125
11/18/2016,5.5,5.75,5.9375,11/20/2017,5.40625,5.625,5.75,11/19/2018,6.5625,6.65625,6.75,11/19/2019,6.78125,6.84375,6.875,11/18/2020,7.8125,7.9375,7.96875,11/19/2021,10.40625,10.53125,10.625,11/21/2022,10.75,11,11.125
11/21/2016,5.5,5.71875,5.90625,11/21/2017,5.4375,5.625,5.78125,11/20/2018,6.65625,6.75,6.84375,11/20/2019,6.84375,6.90625,6.9375,11/19/2020,7.75,7.8125,7.875,11/22/2021,10.75,10.875,10.9375,11/22/2022,10.59375,10.84375,10.96875
11/22/2016,5.46875,5.75,5.9375,11/22/2017,5.375,5.59375,5.75,11/21/2018,6.59375,6.71875,6.78125,11/21/2019,6.75,6.8125,6.84375,11/20/2020,7.78125,7.84375,7.875,11/23/2021,10.84375,11,11.03125,11/23/2022,10.59375,10.875,11
11/23/2016,5.40625,5.71875,5.90625,11/24/2017,5.28125,5.53125,5.6875,11/23/2018,6.625,6.71875,6.78125,11/22/2019,6.84375,6.90625,6.9375,11/23/2020,7.84375,7.90625,7.9375,11/24/2021,10.59375,10.78125,10.84375,11/25/2022,10.375,10.65625,10.8125
11/25/2016,5.34375,5.6875,5.875,11/27/2017,5.21875,5.46875,5.625,11/26/2018,6.71875,6.8125,6.875,11/25/2019,7.0625,7.09375,7.125,11/24/2020,7.9375,8.03125,8.03125,11/26/2021,10.5625,10.75,10.8125,11/28/2022,10.21875,10.53125,10.6875
11/28/2016,5.21875,5.59375,5.78125,11/28/2017,5.25,5.5,5.65625,11/27/2018,6.625,6.71875,6.8125,11/26/2019,7.03125,7.03125,7.09375,11/25/2020,7.65625,7.75,7.78125,11/29/2021,10.28125,10.46875,10.5625,11/29/2022,10.28125,10.625,10.75
11/29/2016,5.15625,5.5,5.65625,11/29/2017,5.34375,5.59375,5.75,11/28/2018,6.59375,6.78125,6.875,11/27/2019,7.03125,7,7.0625,11/27/2020,7.75,7.875,7.90625,11/30/2021,9.875,10.0625,10.15625,11/30/2022,10.34375,10.65625,10.8125
11/30/2016,5.125,5.40625,5.59375,11/30/2017,5.28125,5.59375,5.75,11/29/2018,6.59375,6.75,6.84375,11/29/2019,7.28125,7.1875,7.21875,11/30/2020,7.53125,7.59375,7.65625,12/1/2021,9.96875,10.125,10.21875,12/1/2022,10.1875,10.53125,10.6875
12/1/2016,4.9375,5.25,5.4375,12/1/2017,5.25,5.5625,5.71875,11/30/2018,6.84375,6.84375,6.9375,12/2/2019,7.21875,7.125,7.1875,12/1/2020,7.3125,7.46875,7.53125,12/2/2021,10.34375,10.4375,10.5,12/2/2022,9.9375,10.25,10.40625
12/2/2016,5.15625,5.375,5.53125,12/4/2017,5.1875,5.5,5.65625,12/3/2018,6.8125,6.875,6.96875,12/3/2019,7.0625,6.96875,7.03125,12/2/2020,7.46875,7.59375,7.625,12/3/2021,10.1875,10.3125,10.40625,12/5/2022,9.71875,10.03125,10.1875
12/5/2016,5.15625,5.40625,5.5625,12/5/2017,5.15625,5.5,5.65625,12/4/2018,6.875,6.9375,7,12/4/2019,7.0625,6.96875,7,12/3/2020,7.34375,7.53125,7.5625,12/6/2021,10.15625,10.28125,10.34375,12/6/2022,9.625,9.9375,10.09375
12/6/2016,5.15625,5.40625,5.5625,12/6/2017,5.09375,5.4375,5.59375,12/5/2018,6.875,6.90625,7,12/5/2019,7,6.90625,6.96875,12/4/2020,7.25,7.34375,7.40625,12/7/2021,10.09375,10.21875,10.28125,12/7/2022,9.9375,10.21875,10.375
12/7/2016,5.09375,5.3125,5.46875,12/7/2017,5.0625,5.40625,5.59375,12/6/2018,6.75,6.90625,6.96875,12/6/2019,7.0625,6.9375,7,12/7/2020,7.3125,7.375,7.4375,12/8/2021,10,10.0625,10.125,12/8/2022,9.84375,10.15625,10.28125
12/8/2016,5.15625,5.375,5.53125,12/8/2017,5.03125,5.375,5.5625,12/7/2018,6.90625,7.0625,7.125,12/9/2019,7.03125,6.90625,6.96875,12/8/2020,7.21875,7.3125,7.34375,12/9/2021,9.84375,9.875,9.9375,12/9/2022,9.71875,10.03125,10.15625
12/9/2016,5.28125,5.46875,5.625,12/11/2017,4.96875,5.3125,5.5,12/10/2018,6.90625,7.03125,7.125,12/10/2019,7.0625,6.9375,6.96875,12/9/2020,7.40625,7.46875,7.5,12/10/2021,9.9375,10,10.0625,12/12/2022,10,10.28125,10.40625
12/12/2016,5.28125,5.46875,5.625,12/12/2017,4.96875,5.28125,5.4375,12/11/2018,6.8125,6.96875,7.0625,12/11/2019,7,6.84375,6.875,12/10/2020,7.53125,7.59375,7.59375,12/13/2021,10.0625,10.09375,10.15625,12/13/2022,9.875,10.1875,10.3125
12/13/2016,5.21875,5.46875,5.625,12/13/2017,5.03125,5.34375,5.5,12/12/2018,6.875,7.03125,7.09375,12/12/2019,7.09375,7,7.03125,12/11/2020,7.78125,7.84375,7.84375,12/14/2021,10.09375,10.125,10.1875,12/14/2022,9.875,10.15625,10.28125
12/14/2016,5.1875,5.5625,5.6875,12/14/2017,5.0625,5.34375,5.5,12/13/2018,7.03125,7.15625,7.21875,12/13/2019,7.09375,7,7.03125,12/14/2020,7.5625,7.625,7.625,12/15/2021,9.6875,9.78125,9.71875,12/15/2022,10.34375,10.46875,10.53125
12/15/2016,5.46875,5.625,5.78125,12/15/2017,5.375,5.53125,5.71875,12/14/2018,7.0625,7.09375,7.1875,12/16/2019,7.21875,7.25,7.25,12/15/2020,7.625,7.625,7.5625,12/16/2021,9.84375,9.90625,9.8125,12/16/2022,10.28125,10.4375,10.5
12/16/2016,5.46875,5.625,5.78125,12/18/2017,5.40625,5.5625,5.75,12/17/2018,7.1875,7.25,7.34375,12/17/2019,7.3125,7.34375,7.34375,12/16/2020,7.625,7.65625,7.59375,12/17/2021,10,10.03125,9.90625,,,,
12/19/2016,5.4375,5.59375,5.78125,12/19/2017,5.40625,5.5625,5.75,12/18/2018,7.1875,7.25,7.34375,12/18/2019,7.1875,7.25,7.25,12/17/2020,7.75,7.75,7.6875,12/20/2021,10.0625,10.09375,9.96875,,,,
12/20/2016,5.375,5.5625,5.75,12/20/2017,5.4375,5.59375,5.78125,12/19/2018,7.03125,7.15625,7.25,12/19/2019,7.15625,7.1875,7.21875,12/18/2020,7.78125,7.78125,7.71875,12/21/2021,10.3125,10.34375,10.1875,,,,
12/21/2016,5.34375,5.53125,5.71875,12/21/2017,5.4375,5.59375,5.75,12/20/2018,7.0625,7.1875,7.28125,12/20/2019,7.125,7.1875,7.21875,12/21/2020,7.84375,7.875,7.78125,12/22/2021,10.4375,10.5,10.34375,,,,
12/22/2016,5.34375,5.53125,5.71875,12/22/2017,5.40625,5.5625,5.71875,12/21/2018,7,7.09375,7.1875,12/23/2019,7.09375,7.15625,7.1875,12/22/2020,7.96875,7.96875,7.875,12/23/2021,10.4375,10.46875,10.3125,,,,
12/23/2016,5.3125,5.5,5.6875,12/26/2017,5.34375,5.53125,5.6875,12/24/2018,7.03125,7.125,7.25,12/24/2019,7.125,7.15625,7.21875,12/23/2020,8.09375,8.0625,7.9375,12/27/2021,10.28125,10.34375,10.25,,,,
12/27/2016,5.5625,5.71875,5.90625,12/27/2017,5.40625,5.59375,5.75,12/26/2018,6.90625,7.03125,7.125,12/26/2019,7.21875,7.25,7.25,12/24/2020,8.0625,8.0625,7.9375,12/28/2021,10.03125,10.125,10.0625,,,,
12/28/2016,5.4375,5.625,5.8125,12/28/2017,5.375,5.53125,5.71875,12/27/2018,6.9375,7.0625,7.15625,12/27/2019,7.28125,7.3125,7.3125,12/28/2020,7.875,7.90625,7.8125,12/29/2021,10.0625,10.125,10.03125,,,,
12/29/2016,5.46875,5.625,5.84375,12/29/2017,5.375,5.53125,5.6875,12/28/2018,6.96875,7.0625,7.1875,12/30/2019,7.25,7.3125,7.34375,12/29/2020,7.9375,7.9375,7.84375,12/30/2021,9.9375,9.96875,9.875,,,,
12/30/2016,5.46875,5.65625,5.84375,,,,,12/31/2018,6.875,6.96875,7.0625,12/31/2019,7.25,7.28125,7.3125,12/30/2020,8.1875,8.15625,8,12/31/2021,9.75,9.78125,9.65625,,,,
,,,,,,,,,,,,,,,,12/31/2020,8.15625,8.15625,8,,,,,,,,
